,,,,,,"""@parameter""","""@parameterKey""","""sigdef""","""sigdef""","""sigdef""","""sigdef""","""@rangeLow""","""@rangeHigh""","""@deltaPercent""","""@EU""","""@isarchive""","""@isalarm""","""@alarmtype""","""@prio""","""@active""","""@inactive"""
303,CCTRL,1210,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
303,CCTRL,1220,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
303,CCTRL,1230,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
303,CCTRL,1070,TRACK,O,TRACK Mode,,,,,,,,,,,,,,,,
303,CCTRL,1110,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
303,CCTRL,1120,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
305,SPCTRL,10,IN,I,Input Value,,,,,,,,,,,,,,,,
305,SPCTRL,20,RR_UP,I,Ramp Rate UP in EU / BASE,,,,,,,,,,,,,,,,
305,SPCTRL,30,RR_DOWN,I,Ramp Rate DOWN in EU / BASE,,,,,,,,,,,,,,,,
305,SPCTRL,50,BASE,I,Time Base,,,,,,,,,,,,,,,,
305,SPCTRL,40,SET,I,Set OUT to IN,,,,,,,,,,,,,,,,
305,SPCTRL,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
305,SPCTRL,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
305,SPCTRL,1010,ADJUSTED,O,Output Value is equal Input Value,,,,,,,,,,,,,,,,
305,SPCTRL,1020,OUT_INC,O,Output Value is increasing,,,,,,,,,,,,,,,,
305,SPCTRL,1030,OUT_DEC,O,Output Value is decreasing,,,,,,,,,,,,,,,,
306,DELAY,10,IN,I,Input Value,,,,,,,,,,,,,,,,
306,DELAY,20,T_DELAY,I,Delay Time in sec,,,,,,,,,,,,,,,,
306,DELAY,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
306,DELAY,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
306,DELAY,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
307,SP_AV,10,SP,I,Setpoint Value,,,,,,,,,,,,,,,,
307,SP_AV,20,AV,I,Actual Value,,,,,,,,,,,,,,,,
307,SP_AV,30,RR,I,Ramp Rate in % per sec,,,,,,,,,,,,,,,,
307,SP_AV,100,BASE,I,Time Base,,,,,,,,,,,,,,,,
307,SP_AV,40,ALV,I,Adjustment Limit Value in %,,,,,,,,,,,,,,,,
307,SP_AV,50,BIAS,I,Bias Value,,,,,,,,,,,,,,,,
307,SP_AV,60,C_TRACK,I,Command Tracking (SP_OUT = AV),,,,,,,,,,,,,,,,
307,SP_AV,70,UL,I,Upper Limit,,,,,,,,,,,,,,,,
307,SP_AV,80,LL,I,Lower Limit,,,,,,,,,,,,,,,,
307,SP_AV,90,EU,I,Engineering Units,,,,,,,,,,,,,,,,
307,SP_AV,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
307,SP_AV,1000,SP_OUT,O,Setpoint Output,,,,,,,,,,,,,,,,
307,SP_AV,1010,AV_OUT,O,Actual Value Output,,,,,,,,,,,,,,,,
307,SP_AV,1020,GAIN,O,Calculation Gain,,,,,,,,,,,,,,,,
307,SP_AV,1030,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
400,MOTOR,100,P1_START,I,Protection 1 Command START,,,,,,,,,,,,,,,,
400,MOTOR,110,P2_START,I,Protection 2 Command START,,,,,,,,,,,,,,,,
400,MOTOR,130,A_START,I,Automatic Command START,,,,,,,,,,,,,,,,
400,MOTOR,120,EN_START,I,Enabling START,,,,,,,,,,,,,,,,
400,MOTOR,60,P1_STOP,I,Protection 1 Command STOP,,,,,,,,,,,,,,,,
400,MOTOR,70,P2_STOP,I,Protection 2 Command STOP,,,,,,,,,,,,,,,,
400,MOTOR,90,A_STOP,I,Automatic Command STOP,,,,,,,,,,,,,,,,
400,MOTOR,80,EN_STOP,I,Enabling STOP,,,,,,,,,,,,,,,,
400,MOTOR,50,FB_LOC,I,Feedback LOCAL Control,,,,,,,,,,,,,,,,
400,MOTOR,20,FB_RUN,I,Feedback RUNNING,,,,,,,,,,,,,,,,
400,MOTOR,10,FB_STOP,I,Feedback STOPPED,,,,,,,,,,,,,,,,
400,MOTOR,40,FB_TEST,I,Feedback TESTPOSITION,,,,,,,,,,,,,,,,
400,MOTOR,30,FB_NTRBL,I,Feedback Equipment NO TROUBLE,,,,,,,,,,,,,,,,
400,MOTOR,210,UV_TS,I,Undervoltage Threshold Signal,,,,,,,,,,,,,,,,
400,MOTOR,220,UV_TO,I,Maximum Undervoltage Timeout (sec),,,,,,,,,,,,,,,,
400,MOTOR,230,UV_ST,I,Undervoltage Staggering Time (sec),,,,,,,,,,,,,,,,
400,MOTOR,140,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
400,MOTOR,180,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
400,MOTOR,170,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
400,MOTOR,190,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
400,MOTOR,150,M_C,I,Maintained Command Output,,,,,,,,,,,,,,,,
400,MOTOR,160,T_C,I,Command Monitoring Time (sec),,,,,,,,,,,,,,,,
400,MOTOR,200,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
400,MOTOR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
400,MOTOR,1030,RUNNING,O,Status RUNNING,,,,,,,,,,,,,,,,
400,MOTOR,1020,STOPPED,O,Status STOPPED,,,,,,,,,,,,,,,,
400,MOTOR,1010,C_START,O,Output Command START,,,,,,,,,,,,,,,,
400,MOTOR,1000,C_STOP,O,Output Command STOP,,,,,,,,,,,,,,,,
400,MOTOR,1290,UV,O,Undervoltage Present,,,,,,,,,,,,,,,,
400,MOTOR,1180,LOCAL,O,LOCAL Control,,,,,,,,,,,,,,,,
400,MOTOR,1050,RESET,O,RESET Impulse,,,,,,,,,,,,,,,,
400,MOTOR,1080,P_START,O,Protection Execution START,,,,,,,,,,,,,,,,
400,MOTOR,1060,P_STOP,O,Protection Execution STOP,,,,,,,,,,,,,,,,
400,MOTOR,1090,P_UVSTOP,O,Protection Undervoltage STOP,,,,,,,,,,,,,,,,
400,MOTOR,1110,F_START,O,Failed to START,,,,,,,,,,,,,,,,
400,MOTOR,1100,F_STOP,O,Failed to STOP,,,,,,,,,,,,,,,,
400,MOTOR,1120,FB_ERR,O,Feedback Error,,,,,,,,,,,,,,,,
400,MOTOR,1140,SD_NRUN,O,Status Discrepancy NOT RUNNING,,,,,,,,,,,,,,,,
400,MOTOR,1130,SD_NSTOP,O,Status Discrepancy NOT STOPPED,,,,,,,,,,,,,,,,
400,MOTOR,1150,TRBL,O,Equipment in TROUBLE,,,,,,,,,,,,,,,,
400,MOTOR,1170,TEST,O,In Testposition,,,,,,,,,,,,,,,,
400,MOTOR,1190,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
400,MOTOR,1200,TAGOUT,O,TAGOUT Mode,,,,,,,,,,,,,,,,
400,MOTOR,1210,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
400,MOTOR,1220,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
400,MOTOR,1250,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
400,MOTOR,1160,DCO,O,Link to Device Changeover Function,,,,,,,,,,,,,,,,
400,MOTOR,1040,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
400,MOTOR,1070,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
401,SOV,90,P1_OPEN,I,Protection 1 Command OPEN,,,,,,,,,,,,,,,,
401,SOV,100,P2_OPEN,I,Protection 2 Command OPEN,,,,,,,,,,,,,,,,
401,SOV,120,A_OPEN,I,Automatic Command OPEN,,,,,,,,,,,,,,,,
401,SOV,110,EN_OPEN,I,Enabling OPEN,,,,,,,,,,,,,,,,
401,SOV,50,P1_CLOSE,I,Protection 1 Command CLOSE,,,,,,,,,,,,,,,,
401,SOV,60,P2_CLOSE,I,Protection 2 Command CLOSE,,,,,,,,,,,,,,,,
401,SOV,80,A_CLOSE,I,Automatic Command CLOSE,,,,,,,,,,,,,,,,
401,SOV,70,EN_CLOSE,I,Enabling CLOSE,,,,,,,,,,,,,,,,
401,SOV,40,FB_LOC,I,Feedback LOCAL Control,,,,,,,,,,,,,,,,
401,SOV,20,FB_OPEN,I,Feedback OPENED,,,,,,,,,,,,,,,,
401,SOV,10,FB_CLOSE,I,Feedback CLOSED,,,,,,,,,,,,,,,,
401,SOV,250,FB_TEST,I,Feedback TESTPOSITION,,,,,,,,,,,,,,,,
401,SOV,30,FB_NTRBL,I,Feedback Equipment NO TROUBLE,,,,,,,,,,,,,,,,
401,SOV,130,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
401,SOV,160,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
401,SOV,150,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
401,SOV,170,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
401,SOV,140,T_TRAV,I,Valve Travel Time (sec),,,,,,,,,,,,,,,,
401,SOV,180,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
401,SOV,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
401,SOV,1030,OPENED,O,Status OPENED,,,,,,,,,,,,,,,,
401,SOV,1020,CLOSED,O,Status CLOSED,,,,,,,,,,,,,,,,
401,SOV,1010,C_OPEN,O,Output Command OPEN,,,,,,,,,,,,,,,,
401,SOV,1000,C_CLOSE,O,Output Command CLOSE,,,,,,,,,,,,,,,,
401,SOV,1150,LOCAL,O,LOCAL Control,,,,,,,,,,,,,,,,
401,SOV,1060,RESET,O,RESET Impulse,,,,,,,,,,,,,,,,
401,SOV,1080,P_OPEN,O,Protection Execution OPEN,,,,,,,,,,,,,,,,
401,SOV,1070,P_CLOSE,O,Protection Execution CLOSE,,,,,,,,,,,,,,,,
401,SOV,1100,F_OPEN,O,Failed to OPEN,,,,,,,,,,,,,,,,
401,SOV,1090,F_CLOSE,O,Failed to CLOSE,,,,,,,,,,,,,,,,
401,SOV,1110,FB_ERR,O,Feedback Error,,,,,,,,,,,,,,,,
401,SOV,1130,SD_NOP,O,Status Discrepancy NOT OPENED,,,,,,,,,,,,,,,,
401,SOV,1120,SD_NCL,O,Status Discrepancy NOT CLOSED,,,,,,,,,,,,,,,,
401,SOV,1140,TRBL,O,Equipment in TROUBLE,,,,,,,,,,,,,,,,
401,SOV,1160,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
401,SOV,1170,TAGOUT,O,TAGOUT Mode,,,,,,,,,,,,,,,,
401,SOV,1180,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
401,SOV,1190,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
401,SOV,1220,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
401,SOV,1280,TEST,O,In Testposition,,,,,,,,,,,,,,,,
401,SOV,1040,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
401,SOV,1050,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
402,ACTUATOR,120,P1_OPEN,I,Protection 1 Command OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,130,P2_OPEN,I,Protection 2 Command OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,150,A_OPEN,I,Automatic Command OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,140,EN_OPEN,I,Enabling OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,70,P1_CLOSE,I,Protection 1 Command CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,80,P2_CLOSE,I,Protection 2 Command CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,100,A_CLOSE,I,Automatic Command CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,90,EN_CLOSE,I,Enabling CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,110,A_STOP,I,Automatic Command STOP Moving,,,,,,,,,,,,,,,,
402,ACTUATOR,60,FB_LOC,I,Feedback LOCAL Control,,,,,,,,,,,,,,,,
402,ACTUATOR,20,FB_OPEN,I,Feedback OPENED,,,,,,,,,,,,,,,,
402,ACTUATOR,10,FB_CLOSE,I,Feedback CLOSED,,,,,,,,,,,,,,,,
402,ACTUATOR,40,FB_TQNOP,I,Feedback NOT TORQUE OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,30,FB_TQNCL,I,Feedback NOT TORQUE CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,50,FB_NTRBL,I,Feedback Equipment NO TROUBLE,,,,,,,,,,,,,,,,
402,ACTUATOR,160,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
402,ACTUATOR,230,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
402,ACTUATOR,220,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
402,ACTUATOR,240,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
402,ACTUATOR,170,T_TRAV,I,Valve Travel Time (sec),,,,,,,,,,,,,,,,
402,ACTUATOR,330,T_STEP,I,STEP Mode Time Period (sec),,,,,,,,,,,,,,,,
402,ACTUATOR,180,T_TQCL,I,Torque Time Bypass CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,190,T_TQOP,I,Torque Time Bypass OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,210,SEAL_OP,I,Sealing Direction OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,200,SEAL_CL,I,Sealing Direction CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,250,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
402,ACTUATOR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
402,ACTUATOR,1030,OPENED,O,Status OPENED,,,,,,,,,,,,,,,,
402,ACTUATOR,1020,CLOSED,O,Status CLOSED,,,,,,,,,,,,,,,,
402,ACTUATOR,1010,C_OPEN,O,Output Command OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,1000,C_CLOSE,O,Output Command CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,1190,LOCAL,O,LOCAL Control,,,,,,,,,,,,,,,,
402,ACTUATOR,1180,TRBL,O,Equipment in TROUBLE,,,,,,,,,,,,,,,,
402,ACTUATOR,1060,RESET,O,RESET Impulse,,,,,,,,,,,,,,,,
402,ACTUATOR,1080,P_OPEN,O,Protection OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,1070,P_CLOSE,O,Protection CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,1100,F_OPEN,O,Failed to OPEN,,,,,,,,,,,,,,,,
402,ACTUATOR,1090,F_CLOSE,O,Failed to CLOSE,,,,,,,,,,,,,,,,
402,ACTUATOR,1110,FB_ERR,O,Feedback Error,,,,,,,,,,,,,,,,
402,ACTUATOR,1130,SD_NOP,O,Status Discrepancy NOT OPENED,,,,,,,,,,,,,,,,
402,ACTUATOR,1120,SD_NCL,O,Status Discrepancy NOT CLOSED,,,,,,,,,,,,,,,,
402,ACTUATOR,1150,TQ_OP,O,Torque OPEN Activated,,,,,,,,,,,,,,,,
402,ACTUATOR,1140,TQ_CL,O,Torque CLOSE Activated,,,,,,,,,,,,,,,,
402,ACTUATOR,1170,TQ_FBOP,O,Torque After FB_OPEN Activated,,,,,,,,,,,,,,,,
402,ACTUATOR,1160,TQ_FBCL,O,Torque After FB_CLOSE Activated,,,,,,,,,,,,,,,,
402,ACTUATOR,1200,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
402,ACTUATOR,1210,TAGOUT,O,TAGOUT Mode,,,,,,,,,,,,,,,,
402,ACTUATOR,1220,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
402,ACTUATOR,1230,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
402,ACTUATOR,1270,RESET_P,O,Manual RESET Permitted,,,,,,,,,,,,,,,,
402,ACTUATOR,1040,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
402,ACTUATOR,1050,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
403,SERVO,310,ER,I,System Deviation,,,,,,,,,,,,,,,,
403,SERVO,360,TN,I,Integration Time,,,,,,,,,,,,,,,,
403,SERVO,350,GAIN,I,Gain Factor,,,,,,,,,,,,,,,,
403,SERVO,320,DB,I,Deadband,,,,,,,,,,,,,,,,
403,SERVO,120,P1_OPEN,I,Protection 1 Command OPEN,,,,,,,,,,,,,,,,
403,SERVO,130,P2_OPEN,I,Protection 2 Command OPEN,,,,,,,,,,,,,,,,
403,SERVO,150,A_OPEN,I,Automatic Command OPEN,,,,,,,,,,,,,,,,
403,SERVO,140,EN_OPEN,I,Enabling OPEN,,,,,,,,,,,,,,,,
403,SERVO,70,P1_CLOSE,I,Protection 1 Command CLOSE,,,,,,,,,,,,,,,,
403,SERVO,80,P2_CLOSE,I,Protection 2 Command CLOSE,,,,,,,,,,,,,,,,
403,SERVO,100,A_CLOSE,I,Automatic Command CLOSE,,,,,,,,,,,,,,,,
403,SERVO,90,EN_CLOSE,I,Enabling CLOSE,,,,,,,,,,,,,,,,
403,SERVO,110,A_STOP,I,Automatic Command STOP Moving,,,,,,,,,,,,,,,,
403,SERVO,190,A_CL,I,Automatic Command CLOSED LOOP,,,,,,,,,,,,,,,,
403,SERVO,180,EN_CL,I,Enabling CLOSED LOOP,,,,,,,,,,,,,,,,
403,SERVO,170,A_OL,I,Automatic Command OPEN LOOP,,,,,,,,,,,,,,,,
403,SERVO,160,EN_OL,I,Enabling OPEN LOOP,,,,,,,,,,,,,,,,
403,SERVO,200,EXT_FLT,I,External Fault,,,,,,,,,,,,,,,,
403,SERVO,60,FB_LOC,I,Feedback LOCAL Control,,,,,,,,,,,,,,,,
403,SERVO,20,FB_OPEN,I,Feedback OPENED,,,,,,,,,,,,,,,,
403,SERVO,10,FB_CLOSE,I,Feedback CLOSED,,,,,,,,,,,,,,,,
403,SERVO,40,FB_TQNOP,I,Feedback TORQUE NOT OPEN,,,,,,,,,,,,,,,,
403,SERVO,30,FB_TQNCL,I,Feedback TORQUE NOT CLOSE,,,,,,,,,,,,,,,,
403,SERVO,50,FB_NTRBL,I,Feedback Equipment NO TROUBLE,,,,,,,,,,,,,,,,
403,SERVO,370,ANTI_W,I,Limitation of I-Content,,,,,,,,,,,,,,,,
403,SERVO,390,BL_OP,I,Blocking Closed Loop Direction OPEN,,,,,,,,,,,,,,,,
403,SERVO,380,BL_CL,I,Blocking Closed Loop Direction CLOSE,,,,,,,,,,,,,,,,
403,SERVO,210,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
403,SERVO,280,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
403,SERVO,270,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
403,SERVO,290,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
403,SERVO,220,T_TRAV,I,Valve Travel Time (sec),,,,,,,,,,,,,,,,
403,SERVO,490,T_STEP,I,STEP Mode Time Period (sec),,,,,,,,,,,,,,,,
403,SERVO,240,T_TQOP,I,Torque Time Bypass OPEN,,,,,,,,,,,,,,,,
403,SERVO,230,T_TQCL,I,Torque Time Bypass CLOSE,,,,,,,,,,,,,,,,
403,SERVO,340,MINPUL,I,Minimum Pulse Duration (sec),,,,,,,,,,,,,,,,
403,SERVO,330,MINPAU,I,Minimum Pause Duration (sec),,,,,,,,,,,,,,,,
403,SERVO,260,SEAL_OP,I,Sealing Direction OPEN,,,,,,,,,,,,,,,,
403,SERVO,250,SEAL_CL,I,Sealing Direction CLOSE,,,,,,,,,,,,,,,,
403,SERVO,300,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
403,SERVO,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
403,SERVO,1030,OPENED,O,Status OPENED,,,,,,,,,,,,,,,,
403,SERVO,1020,CLOSED,O,Status CLOSED,,,,,,,,,,,,,,,,
403,SERVO,1050,CL,O,Status CLOSED LOOP,,,,,,,,,,,,,,,,
403,SERVO,1040,OL,O,Status OPEN LOOP,,,,,,,,,,,,,,,,
403,SERVO,1010,C_OPEN,O,Output Command OPEN,,,,,,,,,,,,,,,,
403,SERVO,1000,C_CLOSE,O,Output Command CLOSE,,,,,,,,,,,,,,,,
403,SERVO,1220,LOCAL,O,LOCAL Control,,,,,,,,,,,,,,,,
403,SERVO,1390,OL_REJ,O,Reject to Open Loop Mode,,,,,,,,,,,,,,,,
403,SERVO,1080,CF,O,Configuration Error,,,,,,,,,,,,,,,,
403,SERVO,1090,RESET,O,RESET Impulse,,,,,,,,,,,,,,,,
403,SERVO,1110,P_OPEN,O,Protection Execution OPEN,,,,,,,,,,,,,,,,
403,SERVO,1100,P_CLOSE,O,Protection Execution CLOSE,,,,,,,,,,,,,,,,
403,SERVO,1130,F_OPEN,O,Failed to OPEN,,,,,,,,,,,,,,,,
403,SERVO,1120,F_CLOSE,O,Failed to CLOSE,,,,,,,,,,,,,,,,
403,SERVO,1140,FB_ERR,O,Feedback Error,,,,,,,,,,,,,,,,
403,SERVO,1160,SD_NOP,O,Status Discrepancy NOT OPENED,,,,,,,,,,,,,,,,
403,SERVO,1150,SD_NCL,O,Status Discrepancy NOT CLOSED,,,,,,,,,,,,,,,,
403,SERVO,1180,TQ_OP,O,Torque OPEN Activated,,,,,,,,,,,,,,,,
403,SERVO,1170,TQ_CL,O,Torque CLOSE Activated,,,,,,,,,,,,,,,,
403,SERVO,1200,TQ_FBOP,O,Torque After FB_OPEN Activated,,,,,,,,,,,,,,,,
403,SERVO,1190,TQ_FBCL,O,Torque After FB_CLOSE Activated,,,,,,,,,,,,,,,,
403,SERVO,1210,TRBL,O,Equipment in TROUBLE,,,,,,,,,,,,,,,,
403,SERVO,1230,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
403,SERVO,1240,TAGOUT,O,TAGOUT Mode,,,,,,,,,,,,,,,,
403,SERVO,1250,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
403,SERVO,1260,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
403,SERVO,1320,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
403,SERVO,1060,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
403,SERVO,1070,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
404,SLC,50,A_ON,I,automatic cmd on,,,,,,,,,,,,,,,,
404,SLC,70,EN_ON,I,enable command on,,,,,,,,,,,,,,,,
404,SLC,40,A_OFF,I,automatic cmd off,,,,,,,,,,,,,,,,
404,SLC,60,EN_OFF,I,enable cmd off,,,,,,,,,,,,,,,,
404,SLC,110,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
404,SLC,100,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
404,SLC,120,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
404,SLC,90,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
404,SLC,1040,ON,O,on,,,,,,,,,,,,,,,,
404,SLC,1050,OFF,O,off,,,,,,,,,,,,,,,,
404,SLC,1060,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
404,SLC,1030,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
404,SLC,1070,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
405,PRESEL,70,A_SEL1,I,Automatic Command PRESELECTION 1,,,,,,,,,,,,,,,,
405,PRESEL,150,EN_SEL1,I,Enabling PRESELECTION 1,,,,,,,,,,,,,,,,
405,PRESEL,80,A_SEL2,I,Automatic Command PRESELECTION 2,,,,,,,,,,,,,,,,
405,PRESEL,160,EN_SEL2,I,Enabling PRESELECTION 2,,,,,,,,,,,,,,,,
405,PRESEL,90,A_SEL3,I,Automatic Command PRESELECTION 3,,,,,,,,,,,,,,,,
405,PRESEL,170,EN_SEL3,I,Enabling PRESELECTION 3,,,,,,,,,,,,,,,,
405,PRESEL,100,A_SEL4,I,Automatic Command PRESELECTION 4,,,,,,,,,,,,,,,,
405,PRESEL,180,EN_SEL4,I,Enabling PRESELECTION 4,,,,,,,,,,,,,,,,
405,PRESEL,130,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
405,PRESEL,120,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
405,PRESEL,140,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
405,PRESEL,110,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
405,PRESEL,1070,SEL1,O,Status PRESELECTION 1,,,,,,,,,,,,,,,,
405,PRESEL,1080,SEL2,O,Status PRESELECTION 2,,,,,,,,,,,,,,,,
405,PRESEL,1090,SEL3,O,Status PRESELECTION 3,,,,,,,,,,,,,,,,
405,PRESEL,1100,SEL4,O,Status PRESELECTION 4,,,,,,,,,,,,,,,,
405,PRESEL,1120,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
405,PRESEL,1060,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
405,PRESEL,1110,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
406,DCO,30,A_ON,I,Automatic Command ON,,,,,,,,,,,,,,,,
406,DCO,40,EN_ON,I,Enabling ON,,,,,,,,,,,,,,,,
406,DCO,10,A_OFF,I,Automatic Command OFF,,,,,,,,,,,,,,,,
406,DCO,20,EN_OFF,I,Enabling OFF,,,,,,,,,,,,,,,,
406,DCO,180,RUN0,I,All Devices STOP,,,,,,,,,,,,,,,,
406,DCO,190,RUN1,I,1 RUNNING Device Required,,,,,,,,,,,,,,,,
406,DCO,200,RUN2,I,2 RUNNING Devices Required,,,,,,,,,,,,,,,,
406,DCO,210,RUN3,I,3 RUNNING Devices Required,,,,,,,,,,,,,,,,
406,DCO,220,RUN4,I,4 RUNNING Devices Required,,,,,,,,,,,,,,,,
406,DCO,90,A_SEL1,I,Automatic Command Preselect Device 1,,,,,,,,,,,,,,,,
406,DCO,50,EN_SEL1,I,Enabling Preselection Device 1,,,,,,,,,,,,,,,,
406,DCO,100,A_SEL2,I,Automatic Command Preselect Device 2,,,,,,,,,,,,,,,,
406,DCO,60,EN_SEL2,I,Enabling Preselection Device 2,,,,,,,,,,,,,,,,
406,DCO,110,A_SEL3,I,Automatic Command Preselect Device 3,,,,,,,,,,,,,,,,
406,DCO,70,EN_SEL3,I,Enabling Preselection Device 3,,,,,,,,,,,,,,,,
406,DCO,120,A_SEL4,I,Automatic Command Preselect Device 4,,,,,,,,,,,,,,,,
406,DCO,80,EN_SEL4,I,Enabling Preselection Device 4,,,,,,,,,,,,,,,,
406,DCO,240,T_C,I,Command Monitoring Time (sec),,,,,,,,,,,,,,,,
406,DCO,250,T_TRBL,I,Trouble Changeover Time (sec),,,,,,,,,,,,,,,,
406,DCO,390,T_WAIT,I,WaitingTime 1. to 2. switch (sec),,,,,,,,,,,,,,,,
406,DCO,130,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
406,DCO,150,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
406,DCO,140,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
406,DCO,160,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
406,DCO,230,SEL_MODE,I,Preselection Tracking Mode,,,,,,,,,,,,,,,,
